,# confirmed,high prio
https://github.com/pytorch/pytorch/issues/68813,1,Y
https://github.com/pytorch/pytorch/issues/68957,1,
https://github.com/pytorch/pytorch/issues/69270,3,Y
https://github.com/pytorch/pytorch/issues/69408,1,
https://github.com/pytorch/pytorch/issues/69348,1,
https://github.com/pytorch/pytorch/issues/69432,1,
https://github.com/pytorch/pytorch/issues/69516,2,
https://github.com/pytorch/pytorch/issues/69518,1,
https://github.com/pytorch/pytorch/issues/69665,6,
https://github.com/pytorch/pytorch/issues/70232,2,Y
https://github.com/pytorch/pytorch/issues/70397,1,Y
https://github.com/pytorch/pytorch/issues/70398,1,Y
https://github.com/pytorch/pytorch/issues/70486,2,Y
https://github.com/pytorch/pytorch/issues/70672,1,Y
https://github.com/pytorch/pytorch/issues/70674,2,
https://github.com/pytorch/pytorch/issues/70675,1,
https://github.com/pytorch/pytorch/issues/71058,1,
https://github.com/pytorch/pytorch/issues/71059,1,
https://github.com/pytorch/pytorch/issues/71078,2,
https://github.com/pytorch/pytorch/issues/71080,2,
https://github.com/pytorch/pytorch/issues/71082,1,
https://github.com/pytorch/pytorch/issues/71084,2, 
https://github.com/pytorch/pytorch/issues/71085,1,Y
https://github.com/pytorch/pytorch/issues/71094,1,Y
https://github.com/pytorch/pytorch/issues/71204,1,
https://github.com/pytorch/pytorch/issues/71211,1,
https://github.com/pytorch/pytorch/issues/71384,1,
https://github.com/pytorch/pytorch/issues/71385,1,
https://github.com/pytorch/pytorch/issues/71472,1,
https://github.com/pytorch/pytorch/issues/71477,4,
https://github.com/pytorch/pytorch/issues/71610,1,
https://github.com/pytorch/pytorch/issues/71636,1,
https://github.com/pytorch/pytorch/issues/71671,1,Y
https://github.com/pytorch/pytorch/issues/71674,1,Y
https://github.com/pytorch/pytorch/issues/72793,1,
https://github.com/pytorch/pytorch/issues/72821,6,
https://github.com/pytorch/pytorch/issues/72824,1,
https://github.com/pytorch/pytorch/issues/72900,1,Y
https://github.com/pytorch/pytorch/issues/72909,1,
https://github.com/pytorch/pytorch/issues/72910,2,Y
https://github.com/pytorch/pytorch/issues/73154,1,Y
https://github.com/pytorch/pytorch/issues/73165,1,Y
https://github.com/pytorch/pytorch/issues/71629,2,
https://github.com/pytorch/pytorch/issues/73174,1,Y
https://github.com/pytorch/pytorch/issues/73501,1,
https://github.com/pytorch/pytorch/issues/73502,1,
https://github.com/pytorch/pytorch/issues/73504,1,
https://github.com/pytorch/pytorch/issues/73503,1,
https://github.com/pytorch/pytorch/issues/73624,2,Y
Overall,74,
